name,kana,zip,prefecture,city,street,building,station,phone,genre,takeout,delivery,takeoutUrl,deliveryUrl,siteUrl,eatinUrl,emoney,credit,private,nosmoking,easyaccess,close,time,seats,lat,lng
Szechwan Cuisine & Wine 四川料理 御馥 中之島ダイビル店,,,大阪府,大阪府大阪市北区,中之島3-3-23中之島ダイビル3階,,,0662252988,中華料理,true,false,http://www.huangs-dining.com,,http://www.huangs-dining.com,http://www.huangs-dining.com,false,false,false,false,false,,,,34.6931156,135.4935985
酒と飯 菜〜sai〜,,,京都府,長岡京市,開田3丁目4-14野村ハイツ102,,,0759562678,居酒屋・ダイニングバー,true,false,https://yoyaku.toreta.in/sai/,,https://yoyaku.toreta.in/sai/,https://yoyaku.toreta.in/sai/,false,false,false,false,false,,,,34.9254987,135.696251
インド料理 ムンバイ 九段店,,,東京都,千代田区,九段南2丁目2−8松岡九段ビルB1F,,九段下駅,0332612211,カレー,true,false,https://mumbaijapan.com/kudan/,,https://mumbaijapan.com/kudan/,https://mumbaijapan.com/kudan/,false,false,false,false,false,,,,35.6943694,139.7471449
サワディー 麹町店,,,東京都,千代田区,麹町1-6-6プルミエ麹町ビル1F,,半蔵門駅,05053037162,タイ料理,true,false,https://tabelog.com/tokyo/A1308/A130803/13140840/,,https://tabelog.com/tokyo/A1308/A130803/13140840/,https://tabelog.com/tokyo/A1308/A130803/13140840/,false,false,false,false,false,,,,35.6844086,139.7416318
排骨担々五ノ井,,,東京都,千代田区,神田猿楽町1-3-6HARAビル1F,,神保町駅,0332590125,中華料理,true,false,https://r.goope.jp/paikutantan,,https://r.goope.jp/paikutantan,https://r.goope.jp/paikutantan,false,false,false,false,false,,,,35.6978416,139.759351
丼やまの,,,東京都,千代田区,神田佐久間町3-1森本ビル1F,,秋葉原駅,0358234829,焼肉,true,false,https://tabelog.com/tokyo/A1310/A131001/13220072/,,https://tabelog.com/tokyo/A1310/A131001/13220072/,https://tabelog.com/tokyo/A1310/A131001/13220072/,false,false,false,false,false,,,,35.6974798,139.7767998
神田 いるさ,,,東京都,千代田区,神田小川町3-14-3イルサ1階,,神保町駅,0332943212,その他,true,false,http://www.ilusa.jp/,,http://www.ilusa.jp/,http://www.ilusa.jp/,false,false,false,false,false,,,,35.6966993,139.7606956
ランチョン,,,東京都,千代田区,神田神保町1-6,,神保町駅,0332330866,フレンチ,true,false,http://www.luncheon.jp,,http://www.luncheon.jp,http://www.luncheon.jp,false,false,false,false,false,,,,35.696291,139.7594359
神田 笹鮨,,,東京都,千代田区,鍛冶町2-8-5,,神田駅,0332523344,寿司,true,false,https://www.sasazushi.com,,https://www.sasazushi.com,https://www.sasazushi.com,false,false,false,false,false,,,,35.6926145,139.772494
のりまき屋,,,東京都,中央区,新川1-9-9伊豫隅ビル1階,,茅場町駅,0332060030,和食,true,false,http://www.norimakiya.net,,http://www.norimakiya.net,http://www.norimakiya.net,false,false,false,false,false,,,,35.677242,139.7827417
肉のヒマラヤbyポルコロ 築地,,,東京都,中央区,新富2-13−2,,新富町駅,0362228164,焼肉,true,false,https://tabelog.com/tokyo/A1313/A131301/13177492/,,https://tabelog.com/tokyo/A1313/A131301/13177492/,https://tabelog.com/tokyo/A1313/A131301/13177492/,false,false,false,false,false,,,,35.6707495,139.7745033
Bonte(ボンテ),,,東京都,中央区,佃2-6-9JS月島ビル1階,,月島駅,05053049044,フレンチ,true,false,https://www.hotpepper.jp/strJ001224290/,,https://www.hotpepper.jp/strJ001224290/,https://www.hotpepper.jp/strJ001224290/,false,false,false,false,false,,,,35.6669966,139.7842794
ポンテチェントロ,,,東京都,中央区,佃2丁目1-6リバーシティM-SQUARE1F,,月島駅,0355473030,イタリアン,true,false,http://www.trattoria-italia.com/ponte_centro.html,,http://www.trattoria-italia.com/ponte_centro.html,http://www.trattoria-italia.com/ponte_centro.html,false,false,false,false,false,,,,35.6695103,139.7855906
WINESHOP&DINER FUJIMARU,,,東京都,中央区,東日本橋2-27-19Sビル2階,,浅草橋駅,0358298190,フレンチ,true,false,https://www.papilles.net/,,https://www.papilles.net/,https://www.papilles.net/,false,false,false,false,false,,,,35.695195,139.786668
トラットリア・イタリア 日本橋店,,,東京都,中央区,日本橋室町1丁目7-1駿河ビルB1F,,三越前駅,0362020095,イタリアン,true,false,http://www.trattoria-italia.com/nihonbashi.html,,http://www.trattoria-italia.com/nihonbashi.html,http://www.trattoria-italia.com/nihonbashi.html,false,false,false,false,false,,,,35.6847725,139.7750185
イレール人形町,,,東京都,中央区,日本橋人形町2-22-2,,人形町駅,0336620775,フレンチ,true,false,http://www.irreel.jp,,http://www.irreel.jp,http://www.irreel.jp,false,false,false,false,false,,,,35.686259,139.7841904
La cantinetta Otanukisan,,,東京都,中央区,日本橋人形町3丁目13-11,,人形町駅,0362649524,イタリアン,true,false,https://otanukisan.jp/,,https://otanukisan.jp/,https://otanukisan.jp/,false,false,false,false,false,,,,35.6869497,139.7829392
シャルキュ,,,東京都,港区,虎ノ門1-11-5森谷ビル地下1階,,虎ノ門駅,0362054177,フレンチ,true,false,https://charcut.exblog.jp/,,https://charcut.exblog.jp/,https://charcut.exblog.jp/,false,false,false,false,false,,,,35.6687626,139.7503707
トラットリア・イタリア 品川店,,,東京都,港区,港南2丁目15−2品川インターシティB別棟1F,,品川駅,05034630125,イタリアン,true,false,http://www.trattoria-italia.com/shinagawa.html,,http://www.trattoria-italia.com/shinagawa.html,http://www.trattoria-italia.com/shinagawa.html,false,false,false,false,false,,,,35.6262876,139.7420455
肉バル肉リーマン,,,東京都,港区,芝浦3-6-8TOKIビル1階,,田町駅,036809416,イタリアン,true,false,https://r.gnavi.co.jp/44nk62590000/,,https://r.gnavi.co.jp/44nk62590000/,https://r.gnavi.co.jp/44nk62590000/,false,false,false,false,false,,,,35.6431878,139.748185
64 barrack st.,,,東京都,港区,西新橋2-11-6ニュー西新橋ビル1F,,新橋駅,0362571020,オーストラリア料理,true,false,https://barrackst64.com/,,https://barrackst64.com/,https://barrackst64.com/,false,false,false,false,false,,,,35.6663806,139.7519914
ビストロアンバロン,,,東京都,港区,西麻布1-9-7,,六本木駅,0364389699,フレンチ,true,false,https://bistroenballon.com/,,https://bistroenballon.com/,https://bistroenballon.com/,false,false,false,false,false,,,,35.6611194,139.7249286
アルド ALDO,,,東京都,港区,南青山3-3-23Sta-bldB1F,,表参道駅,0364277223,ペルー料理,true,false,https://aldoperu.com/,,https://aldoperu.com/,https://aldoperu.com/,false,false,false,false,false,,,,35.6675146,139.7168281
apéro. wine bar aoyama,,,東京都,港区,"南青山3丁目4-6,Aoyama346,3F",,外苑前駅,0363253893,ワインバー,true,false,https://apero.co.jp/,,https://apero.co.jp/,https://apero.co.jp/,false,false,false,false,false,,,,35.6672704,139.7172471
ラ・パスタイオーネ,,,東京都,港区,南麻布1丁目6−3YREビル1F,,麻布十番駅,0368093420,イタリアン,true,false,http://www.la-pastaione.com,,http://www.la-pastaione.com,http://www.la-pastaione.com,false,false,false,false,false,,,,35.6525282,139.7354544
First Fruits Coffee,,,東京都,港区,白金1-25-29,,白金高輪,0332773370,喫茶店・カフェ,true,false,http://first-fruits-japan.com/,,http://first-fruits-japan.com/,http://first-fruits-japan.com/,false,false,false,false,false,,,,35.6442476,139.7316537
ROZZO SICILIA,,,東京都,港区,白金1丁目1-12,,白金高輪,0354471955,イタリアン,true,false,https://www.shirokane-shotengai.jp/%E5%BA%97%E8%88%97%E4%B8%80%E8%A6%A7/%E3%83%AD%E3%83%83%E3%83%84%E3%82%A9%E3%82%B7%E3%83%81%E3%83%AA%E3%82%A2/,,https://www.shirokane-shotengai.jp/%E5%BA%97%E8%88%97%E4%B8%80%E8%A6%A7/%E3%83%AD%E3%83%83%E3%83%84%E3%82%A9%E3%82%B7%E3%83%81%E3%83%AA%E3%82%A2/,https://www.shirokane-shotengai.jp/%E5%BA%97%E8%88%97%E4%B8%80%E8%A6%A7/%E3%83%AD%E3%83%83%E3%83%84%E3%82%A9%E3%82%B7%E3%83%81%E3%83%AA%E3%82%A2/,false,false,false,false,false,,,,35.6469602,139.7318364
このむ白金,,,東京都,港区,白金2-1-5,,白金高輪,0364081900,居酒屋・ダイニングバー,true,false,http://www.konomu.com/,,http://www.konomu.com/,http://www.konomu.com/,false,false,false,false,false,,,,35.6436092,139.731145
タランテッラ・ダ・ルイジ,,,東京都,港区,白金3-22-2-1F,,白金高輪,0364085552,イタリアン,true,false,http://tarantella-da-luigi.com/,,http://tarantella-da-luigi.com/,http://tarantella-da-luigi.com/,false,false,false,false,false,,,,35.6446401,139.7312925
リストランテ センソ,,,東京都,港区,白金台5-17-10Shirokanedaithe2000B1,,白金台駅,0354496777,イタリアン,true,false,http://www.ristorantesenso.tokyo/,,http://www.ristorantesenso.tokyo/,http://www.ristorantesenso.tokyo/,false,false,false,false,false,,,,35.637178000000013,139.723344
ドリームファクトリー,,,東京都,港区,浜松町1丁目18−8,,浜松町駅,0334316830,イタリアン,true,false,https://pizza-df.com/,,https://pizza-df.com/,https://pizza-df.com/,false,false,false,false,false,,,,35.6579033,139.7553358
ディップマハル 青山店,,,東京都,港区,北青山3-5-9レイカーズ青山1F,,表参道駅,05053035959,カレー,true,false,https://tabelog.com/tokyo/A1306/A130602/13153214/,,https://tabelog.com/tokyo/A1306/A130602/13153214/,https://tabelog.com/tokyo/A1306/A130602/13153214/,false,false,false,false,false,,,,35.667179,139.7135364
肉とクラフトビールCarnism【カーニズム】,,,東京都,港区,麻布十番1-3-5クレイン麻布101,,麻布十番駅,0355455944,ビールバー,true,false,http://carnism.favy.jp/,,http://carnism.favy.jp/,http://carnism.favy.jp/,false,false,false,false,false,,,,35.6568937,139.7361634
九州料理 おにまる,,,東京都,港区,麻布十番1丁目11-10十番アネックス1F,,麻布十番駅,0335868187,和食,true,false,https://www.facebook.com/九州料理-おにまる-186431831535384/,,https://www.facebook.com/九州料理-おにまる-186431831535384/,https://www.facebook.com/九州料理-おにまる-186431831535384/,false,false,false,false,false,,,,35.6556508,139.7366322
インド料理ムンバイ四谷店 + The India Tea House,,,東京都,新宿区,四谷1丁目8−6ホリナカビル1-2F,,四谷駅,0333500777,カレー,true,false,https://mumbaijapan.com/yotsuya,,https://mumbaijapan.com/yotsuya,https://mumbaijapan.com/yotsuya,false,false,false,false,false,,,,35.6865006,139.7281977
BRUCIABRUCIA,,,東京都,新宿区,天神町77都住創ラスティックビル1F,,神楽坂駅,05053033542,イタリアン,true,false,http://www.bruciabrucia.com/,,http://www.bruciabrucia.com/,http://www.bruciabrucia.com/,false,false,false,false,false,,,,35.705935,139.730784
根津の谷,,,東京都,文京区,根津1-1-14,,根津駅,0338230030,ベジ・ヴィーガン,true,false,https://nezunoya.com/,,https://nezunoya.com/,https://nezunoya.com/,false,false,false,false,false,,,,35.717546899999988,139.7651713
わたべ,,,東京都,文京区,小石川1-9-14-104,,後楽園駅,0338127448,和食,true,false,http://www.unagiyawatabe.com/,,http://www.unagiyawatabe.com/,http://www.unagiyawatabe.com/,false,false,false,false,false,,,,35.7114814,139.7520967
トラットリア・イタリア文京店,,,東京都,文京区,本駒込2丁目28-10文京グリーンコート1F,,駒込駅,0339437165,イタリアン,true,false,http://www.trattoria-italia.com/italia_bunkyo.html,,http://www.trattoria-italia.com/italia_bunkyo.html,http://www.trattoria-italia.com/italia_bunkyo.html,false,false,false,false,false,,,,35.729724399999988,139.7474801
Q Cafe 上野,,,東京都,台東区,東上野2-13-2,,上野駅,05058707685,カフェレストラン,true,false,https://www.q-stay.jp/qcafe/,,https://www.q-stay.jp/qcafe/,https://www.q-stay.jp/qcafe/,false,false,false,false,false,,,,35.7093613,139.7779667
李湘潭 湘菜館,,,東京都,墨田区,錦糸2丁目7-27徳重ビル1F,,錦糸町駅,0356378728,中華料理,true,false,https://s.tabelog.com/tokyo/A1312/A131201/13182242/,,https://s.tabelog.com/tokyo/A1312/A131201/13182242/,https://s.tabelog.com/tokyo/A1312/A131201/13182242/,false,false,false,false,false,,,,35.698437200000008,139.8121027
焼肉粋iki,,,東京都,江東区,永代1-2-9,,門前仲町駅,0345002883,焼肉,true,false,https://tabelog.com/tokyo/A1313/A131303/13189559/,,https://tabelog.com/tokyo/A1313/A131303/13189559/,https://tabelog.com/tokyo/A1313/A131303/13189559/,false,false,false,false,false,,,,35.6752019,139.789091
和牛山本,,,東京都,江東区,亀戸5-5-8,,亀戸駅,0358753329,焼肉,true,false,https://wagyuyamamoto.owst.jp/,,https://wagyuyamamoto.owst.jp/,https://wagyuyamamoto.owst.jp/,false,false,false,false,false,,,,35.6985454,139.8271322
カフェレストラン鍵,,,東京都,江東区,森下2-19-1森下キーコーポ一階,,森下駅,0336320770,洋食,true,false,https://yoshoku-restaurant.business.site/,,https://yoshoku-restaurant.business.site/,https://yoshoku-restaurant.business.site/,false,false,false,false,false,,,,35.6882489,139.7988216
野菜のちから,,,東京都,江東区,清澄2丁目7-9,,清澄白河駅,0364585508,カフェレストラン,true,false,http://food-voice.com/yasai-no-chikara,,http://food-voice.com/yasai-no-chikara,http://food-voice.com/yasai-no-chikara,false,false,false,false,false,,,,35.6820792,139.7969437
家庭料理うさぎ,,,東京都,品川区,西五反田7-18-5,,五反田駅,0334902158,和食,true,false,http://usagi.ninja-web.net/index.htm,,http://usagi.ninja-web.net/index.htm,http://usagi.ninja-web.net/index.htm,false,false,false,false,false,,,,35.6231136,139.7184916
ワインファームTAMURA,,,東京都,目黒区,上目黒2-16-9サンハイツナカムラ1F,,中目黒駅,0364522798,イタリアン,true,false,https://www.wine-farm-tamura-nakameguro.com/sp/,,https://www.wine-farm-tamura-nakameguro.com/sp/,https://www.wine-farm-tamura-nakameguro.com/sp/,false,false,false,false,false,,,,35.6418601,139.6975934
ユイット,,,東京都,目黒区,中目黒1-10-23リバーサイドテラス1階,,中目黒駅,0337608898,フレンチ,true,false,http://east-meets-west.jp/,,http://east-meets-west.jp/,http://east-meets-west.jp/,false,false,false,false,false,,,,35.6431017,139.7014097
